product_name,product_code,category_main,category_mid,category_sub,full_path,price_original,price_discounted,brand,discount_pct,price_anomaly,ever_purchased
Pantene Emily In Paris Keratin Koruyucu Oil 100 Ml,128537,Saç Bakım,Saç Bakım Ürünleri,Saç Bakım Yağları,Saç Bakım > Saç Bakım Ürünleri > Saç Bakım Yağları,224.92,168.69,Pantene,25.0,False,False
Dove Ultra Care Serum Bakım Maskesi Yoğun Onarıcı Yıpranmış Saçlar 160 Ml,123143,Saç Bakım,Saç Bakım Ürünleri,Saç Maskesi,Saç Bakım > Saç Bakım Ürünleri > Saç Maskesi,224.92,191.18,Dove,15.0,False,False
Pantene Doğal Sentez Saç Bakım Serumu Argan Yağlı Elixir 100 Ml,58390,Saç Bakım,Saç Bakım Ürünleri,Saç Serumu,Saç Bakım > Saç Bakım Ürünleri > Saç Serumu,224.92,157.44,Pantene,30.0,False,False
Bade Natural %100 Saf Susam Yağı 30 Ml,130334,Kişisel Bakım,,Sağlık Ürünleri,Kişisel Bakım > Sağlık Ürünleri,224.92,157.44,Bade Natural,30.0,False,False
Nivea Q10 Yaşlanma Karşıtı Bakım El Kremi 75 Ml,90505,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,224.96,89.98,Nivea,60.0,False,False
Nivea Repair&Care Onarıcı El Kremi 75 Ml,90506,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,224.96,89.98,Nivea,60.0,False,False
Elidor Ultra Işıltılı Saç Kurtarıcı Sprey 200 Ml,130152,Saç Bakım,Saç Şekillendirici,Saç Spreyi,Saç Bakım > Saç Şekillendirici > Saç Spreyi,224.96,123.72,Elidor,45.0,False,False
Nascita Profesyonel Oval Kapatıcı Fırçası,133506,Makyaj,,Makyaj Aksesuarları,Makyaj >Makyaj Aksesuarları,225.0,135.0,Nascita,40.0,False,False
Nascita Parfüm Atomizeri 5 Ml Pembe,133658,Makyaj,,Makyaj Aksesuarları,Makyaj >Makyaj Aksesuarları,225.0,135.0,Nascita,40.0,False,False
Golden Rose Miss Beauty High Definition Mascara Black,113058,Makyaj,Göz,Maskara,Makyaj > Göz > Maskara,225.0,67.5,Golden Rose,70.0,False,False
Golden Rose Miss Beauty Volume Booster Mascara Black,833-2841,Makyaj,Göz,Maskara,Makyaj > Göz > Maskara,225.0,67.5,Golden Rose,70.0,False,True
Dalin Pişik Kremi 100 Ml,128309,Bebek,Bebek Bakım Ürünleri,Pişik Kremi,Bebek > Bebek Bakım Ürünleri > Pişik Kremi,225.0,157.5,Dalin,30.0,False,False
Morfose Ultra Strong Ultra Güçlü Dış Etkenlere Karşı Kalıcı Tutuş Saç Spreyi 400 Ml,125052,Saç Bakım,Saç Şekillendirici,Saç Spreyi,Saç Bakım > Saç Şekillendirici > Saç Spreyi,225.12,157.58,Morfose,30.0,False,False
Lionesse Saç Fırçası Wet 2764,96798,Saç Bakım,Saç Aksesuarları,Tarak ve Fırça,Saç Bakım > Saç Aksesuarları >Tarak ve Fırça,225.42,146.52,Lionesse,35.0,False,False
L'Oréal Paris Men Expert Carbon Protect 5in1 Deo 150 Ml,128191,Parfüm,Erkek Parfüm,Deodorant,Parfüm > Erkek Parfüm >Deodorant,225.75,112.88,Loreal Deodorant,50.0,False,False
L'Oréal Paris Men Expert Invicible Deo 150 Ml,128194,Parfüm,Erkek Parfüm,Deodorant,Parfüm > Erkek Parfüm >Deodorant,225.75,112.88,Loreal Deodorant,50.0,False,False
L'Oréal Paris Men Expert Shirt Protect Deo 150 Ml,128196,Parfüm,Erkek Parfüm,Deodorant,Parfüm > Erkek Parfüm >Deodorant,225.75,112.88,Loreal Deodorant,50.0,False,False
L'Oréal Paris Men Expert Thermic Resist Deo 150 Ml,128197,Parfüm,Erkek Parfüm,Deodorant,Parfüm > Erkek Parfüm >Deodorant,225.75,112.88,Loreal Deodorant,50.0,False,False
L'Oréal Paris Men Expert Carbon Protect 5in1 Roll-On 50 Ml,128192,Parfüm,Erkek Parfüm,Roll-On,Parfüm > Erkek Parfüm >Roll-On,225.75,112.88,Loreal Deodorant,50.0,False,False
L'Oréal Paris Men Expert Invicible Roll-On 50 Ml,128193,Parfüm,Erkek Parfüm,Roll-On,Parfüm > Erkek Parfüm >Roll-On,225.75,180.6,Loreal Deodorant,20.0,False,False
L'Oréal Paris Men Expert Shirt Protect Roll-On 50 Ml,128195,Parfüm,Erkek Parfüm,Roll-On,Parfüm > Erkek Parfüm >Roll-On,225.75,180.6,Loreal Deodorant,20.0,False,False
L'Oréal Paris Men Expert Thermic Resist Roll-On 50 Ml,128198,Parfüm,Erkek Parfüm,Roll-On,Parfüm > Erkek Parfüm >Roll-On,225.75,112.88,Loreal Deodorant,50.0,False,False
Signal White Now Gold Diş Macunu 75 Ml,62417,Kişisel Bakım,Ağız Bakım,Diş Macunları,Kişisel Bakım > Ağız Bakım > Diş Macunları,226.36,135.82,Signal,40.0,False,False
Signal White Now Sensitive Diş Macunu 75 Ml,114268,Kişisel Bakım,Ağız Bakım,Diş Macunları,Kişisel Bakım > Ağız Bakım > Diş Macunları,226.36,135.82,Signal,40.0,False,False
Signal White Now Lekesiz Beyazlık Diş Macunu 75 Ml,125938,Kişisel Bakım,Ağız Bakım,Diş Macunları,Kişisel Bakım > Ağız Bakım > Diş Macunları,226.36,135.82,Signal,40.0,False,False
Signal White Now Detox Charcoal Diş Macunu 75 Ml,126069,Kişisel Bakım,Ağız Bakım,Diş Macunları,Kişisel Bakım > Ağız Bakım > Diş Macunları,226.36,135.82,Signal,40.0,False,False
Lionesse Silver Collection Fondöten Fırçası,122067,Makyaj,,Makyaj Aksesuarları,Makyaj > Makyaj Aksesuarları,226.65,147.32,Lionesse,35.0,False,False
Johnsons Vita-Rich Duş Jeli Papaya Özlü Nemlendirici 400 Ml,123990,Kişisel Bakım,Banyo Bakım,Duş Jelleri,Kişisel Bakım > Banyo Bakım > Duş Jelleri,226.67,113.33,Johnson's Baby,50.0,False,False
Johnsons Vita-Rich Duş Jeli Nar Çiçeği Canlandırıcı 400 Ml,123991,Kişisel Bakım,Banyo Bakım,Duş Jelleri,Kişisel Bakım > Banyo Bakım > Duş Jelleri,226.67,113.33,Johnson's Baby,50.0,False,False
Johnsons Vita-Rich Duş Jeli Ahududu Özlü Yenileyici 400 Ml,123992,Kişisel Bakım,Banyo Bakım,Duş Jelleri,Kişisel Bakım > Banyo Bakım > Duş Jelleri,226.67,113.33,Johnson's Baby,50.0,False,False
Johnsons Vita-Rich Duş Jeli Gül Suyu Yatıştırıcı 400 Ml,123993,Kişisel Bakım,Banyo Bakım,Duş Jelleri,Kişisel Bakım > Banyo Bakım > Duş Jelleri,226.67,113.33,Johnson's Baby,50.0,False,False
Pantene Bambu ve Biotinli Saç Maskesi 160 Ml,109334,Saç Bakım,Saç Bakım Ürünleri,Saç Maskesi,Saç Bakım > Saç Bakım Ürünleri > Saç Maskesi,227.08,113.54,Pantene,50.0,False,False
Sensodyne Nourish Sağlıklı Beyazlık 1+1 Diş Fırçası,123374,Kişisel Bakım,Ağız Bakım,Diş Fırçaları,Kişisel Bakım > Ağız Bakım > Diş Fırçaları,227.23,181.78,Sensodyne,20.0,False,False
Sensodyne Çok Yönlü Koruma Beyazlatıcı Diş Macunu 75 Ml,120076,Kişisel Bakım,Ağız Bakım,Diş Macunları,Kişisel Bakım > Ağız Bakım > Diş Macunları,227.23,181.78,Sensodyne,20.0,False,False
Blanc Du Nil Dantel Pareo Mavi,103849,Tekstil,Kadın Plaj Giyim,Pareo,Tekstil > Kadın Plaj Giyim >Pareo,227.27,227.27,Blanc Du Nil,0.0,False,False
Blanc Du Nil File Pareo Leopar,103851,Tekstil,Kadın Plaj Giyim,Pareo,Tekstil > Kadın Plaj Giyim >Pareo,227.27,227.27,Blanc Du Nil,0.0,False,False
Altan Beauty 144-B Sütyen Siyah,3-2766,Tekstil,Kadın İç Giyim,Sütyen,Tekstil > Kadın İç Giyim > Sütyen,227.27,227.27,Altan,0.0,False,False
Altan Lacy 201A Sütyen Siyah,22-2766,Tekstil,Kadın İç Giyim,Sütyen,Tekstil > Kadın İç Giyim > Sütyen,227.27,227.27,Altan,0.0,False,False
Altan Lacy 201A Sütyen Ecru,22-2983,Tekstil,Kadın İç Giyim,Sütyen,Tekstil > Kadın İç Giyim > Sütyen,227.27,227.27,Altan,0.0,False,False
Oroverde Derby Tayt Siyah,1410-2766,Tekstil,Kadın Giyim,Tayt,Tekstil > Kadın Giyim > Tayt,227.27,193.18,Sanpellegrino,15.0,False,False
Salon Bambu Saç Fırçası 6126,96841,Saç Bakım,Saç Aksesuarları,Tarak ve Fırça,Saç Bakım > Saç Aksesuarları > Tarak ve Fırça,227.5,147.88,Salon,35.0,False,False
Nascita Profesyonel Max 3 Boyutlu Saç Fırçası Beyaz Mermer,133583,Saç Bakım,Saç Aksesuarları,Tarak ve Fırça,Saç Bakım > Saç Aksesuarları >Tarak ve Fırça,227.5,136.5,Nascita,40.0,False,False
Durex Intense Prezervatif 10'lu,98350,Kişisel Bakım,,Cinsel Sağlık Ürünleri,Kişisel Bakım > Cinsel Sağlık Ürünleri,227.81,91.12,Durex,60.0,False,False
Durex Yok Ötesi Ekstra Kaygan Prezervatif 10'lu,114048,Kişisel Bakım,,Cinsel Sağlık Ürünleri,Kişisel Bakım > Cinsel Sağlık Ürünleri,227.81,91.12,Durex,60.0,False,False
